weo_subject_code,geo,estimates_start_after
PCPIE,AFG,2014
PCPIE,ALB,2013
PCPIE,DZA,2014
PCPIE,AGO,2014
PCPIE,ATG,2014
PCPIE,ARG,2013
PCPIE,ARM,2014
PCPIE,AUS,2013
PCPIE,AUT,2014
PCPIE,AZE,2013
PCPIE,BHS,2013
PCPIE,BHR,2014
PCPIE,BGD,2014
PCPIE,BRB,2014
PCPIE,BLR,2014
PCPIE,BEL,2014
PCPIE,BLZ,2013
PCPIE,BEN,2013
PCPIE,BTN,2013
PCPIE,BOL,2014
PCPIE,BIH,2013
PCPIE,BWA,2013
PCPIE,BRA,2014
PCPIE,BRN,2013
PCPIE,BGR,2014
PCPIE,BFA,2014
PCPIE,BDI,2012
PCPIE,CPV,2014
PCPIE,KHM,2013
PCPIE,CMR,2013
PCPIE,CAN,2014
PCPIE,CAF,2014
PCPIE,TCD,2013
PCPIE,CHL,2014
PCPIE,CHN,2014
PCPIE,COL,2014
PCPIE,COM,2013
PCPIE,COD,2014
PCPIE,COG,2013
PCPIE,CRI,2013
PCPIE,CIV,2014
PCPIE,HRV,2014
PCPIE,CYP,2014
PCPIE,CZE,2014
PCPIE,DNK,2014
PCPIE,DJI,2014
PCPIE,DMA,2013
PCPIE,DOM,2014
PCPIE,ECU,2014
PCPIE,EGY,2014
PCPIE,SLV,2013
PCPIE,GNQ,2013
PCPIE,ERI,2009
PCPIE,EST,2013
PCPIE,ETH,2014
PCPIE,FJI,2013
PCPIE,FIN,2014
PCPIE,FRA,2014
PCPIE,GAB,2014
PCPIE,GMB,2013
PCPIE,GEO,2014
PCPIE,DEU,2014
PCPIE,GHA,2013
PCPIE,GRC,2014
PCPIE,GRD,2013
PCPIE,GTM,2013
PCPIE,GIN,2014
PCPIE,GNB,2011
PCPIE,GUY,2012
PCPIE,HTI,2013
PCPIE,HND,2013
PCPIE,HKG,2014
PCPIE,HUN,2013
PCPIE,ISL,2013
PCPIE,IND,2014
PCPIE,IDN,2014
PCPIE,IRN,2014
PCPIE,IRQ,2014
PCPIE,IRL,2014
PCPIE,ISR,2014
PCPIE,ITA,2014
PCPIE,JAM,2014
PCPIE,JPN,2014
PCPIE,JOR,2013
PCPIE,KAZ,2013
PCPIE,KEN,2014
PCPIE,KIR,2014
PCPIE,KOR,2014
PCPIE,UVK,2013
PCPIE,KWT,2014
PCPIE,KGZ,2014
PCPIE,LAO,2013
PCPIE,LVA,2013
PCPIE,LBN,2013
PCPIE,LSO,2013
PCPIE,LBR,2013
PCPIE,LBY,2014
PCPIE,LTU,2013
PCPIE,LUX,2014
PCPIE,MKD,2014
PCPIE,MDG,2014
PCPIE,MWI,2014
PCPIE,MYS,2014
PCPIE,MDV,2014
PCPIE,MLI,2013
PCPIE,MLT,2013
PCPIE,MHL,2013
PCPIE,MRT,2014
PCPIE,MUS,2013
PCPIE,MEX,2014
PCPIE,FSM,2013
PCPIE,MDA,2013
PCPIE,MNG,2014
PCPIE,MNE,2014
PCPIE,MAR,2013
PCPIE,MOZ,2014
PCPIE,MMR,2014
PCPIE,NAM,2012
PCPIE,NPL,2014
PCPIE,NLD,2014
PCPIE,NZL,2014
PCPIE,NIC,2014
PCPIE,NER,2014
PCPIE,NGA,2014
PCPIE,NOR,2014
PCPIE,OMN,2014
PCPIE,PAK,2014
PCPIE,PLW,2014
PCPIE,PAN,2014
PCPIE,PNG,2013
PCPIE,PRY,2013
PCPIE,PER,2014
PCPIE,PHL,2014
PCPIE,POL,2013
PCPIE,PRT,2014
PCPIE,QAT,2014
PCPIE,ROU,2014
PCPIE,RUS,2014
PCPIE,RWA,2014
PCPIE,WSM,2014
PCPIE,SMR,2014
PCPIE,STP,2014
PCPIE,SAU,2014
PCPIE,SEN,2011
PCPIE,SRB,2014
PCPIE,SYC,2013
PCPIE,SLE,2014
PCPIE,SGP,2014
PCPIE,SVK,2014
PCPIE,SVN,2014
PCPIE,SLB,2013
PCPIE,ZAF,2014
PCPIE,SSD,2014
PCPIE,ESP,2014
PCPIE,LKA,2014
PCPIE,KNA,2013
PCPIE,LCA,2013
PCPIE,VCT,2013
PCPIE,SDN,2013
PCPIE,SUR,2013
PCPIE,SWZ,2014
PCPIE,SWE,2014
PCPIE,CHE,2014
PCPIE,SYR,2011
PCPIE,TWN,2014
PCPIE,TJK,2013
PCPIE,TZA,2013
PCPIE,THA,2014
PCPIE,TLS,2013
PCPIE,TGO,2013
PCPIE,TON,2013
PCPIE,TTO,2013
PCPIE,TUN,2014
PCPIE,TUR,2014
PCPIE,TKM,2013
PCPIE,TUV,2013
PCPIE,UGA,2014
PCPIE,UKR,2014
PCPIE,ARE,2014
PCPIE,GBR,2014
PCPIE,USA,2014
PCPIE,URY,2014
PCPIE,UZB,2012
PCPIE,VUT,2014
PCPIE,VEN,2013
PCPIE,VNM,2013
PCPIE,YEM,2009
PCPIE,ZMB,2013
PCPIE,ZWE,2013
