weo_subject_code,geo,country_series_specific_notes
PCPIE,AFG,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2011. The base is March 2011=100 Primary domestic currency: Afghan Afghani Data last updated: 03/2015
PCPIE,ALB,Source: National Statistical Office Latest actual data: 2013 Notes: CPI basket was expanded on December 2001 and again in 2007 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. Dec 2007 = 100 Primary domestic currency: Albanian lek Data last updated: 03/2015
PCPIE,DZA,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 03/2015
PCPIE,AGO,Source: Central Bank. National Bank of Angola Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2010 Primary domestic currency: Angolan kwanza Data last updated: 03/2015
PCPIE,ATG,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2001. CPI Index = 100 in January 2001. Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
PCPIE,ARG,"Source: National Statistical Office Latest actual data: 2013 Notes: Consumer price data from December 2013 onwards reflect the new national CPI (IPCNu), which differs substantively from the preceding CPI (the CPI for the Greater Buenos Aires Area, CPI-GBA). Because of the differences in geographical coverage, weights, sampling, and methodology, the IPCNu data cannot be directly compared to the earlier CPI-GBA data. Because of this structural break in the data, the average CPI inflation for 2014 is not reported in the April 2015 World Economic Outlook. Following a declaration of censure by the IMF on February 1, 2013, the public release of a new national CPI by end-March 2014 was one of the specified actions in the IMF Executive Board?s December 2013 decision calling on Argentina to address the quality of its official CPI data. On December 15, 2014, the Executive Board recognized the implementation of the specified actions it had called for by end-September 2014 and the steps taken by the Argentine authorities to remedy the inaccurate provision of data. The Executive Board will review this issue again as per the calendar specified in December 2013 and in line with the procedures set forth in the Fund?s legal framework. Harmonized prices: No Frequency of source data: Monthly Base year: 2008. For end of period CPI, the base period is April, 2008. The base period for the average series from IPCNu is October 2013 to September 2014. Primary domestic currency: Argentine peso Data last updated: 03/2015"
PCPIE,ARM,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 1995 Primary domestic currency: Armenian dram Data last updated: 03/2015
PCPIE,AUS,Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Harmonized prices: No. Data refer to calendar years Frequency of source data: Quarterly Base year: 2011/12 Primary domestic currency: Australian dollar Data last updated: 03/2015
PCPIE,AUT,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 03/2015
PCPIE,AZE,Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 1995 Primary domestic currency: Azerbaijan manat Data last updated: 03/2015
PCPIE,BHS,Source: National Statistical Office Latest actual data: 2013 Harmonized prices: Yes. Retail Price Index Frequency of source data: Monthly Base year: 2010. Base year is February 2010. Primary domestic currency: Bahamian dollar Data last updated: 03/2015
