weo_subject_code,geo,estimates_start_after
PCPIEPCH,AFG,2014
PCPIEPCH,ALB,2013
PCPIEPCH,DZA,2014
PCPIEPCH,AGO,2014
PCPIEPCH,ATG,2014
PCPIEPCH,ARG,2013
PCPIEPCH,ARM,2014
PCPIEPCH,AUS,2013
PCPIEPCH,AUT,2014
PCPIEPCH,AZE,2013
PCPIEPCH,BHS,2013
PCPIEPCH,BHR,2014
PCPIEPCH,BGD,2014
PCPIEPCH,BRB,2014
PCPIEPCH,BLR,2014
PCPIEPCH,BEL,2014
PCPIEPCH,BLZ,2013
PCPIEPCH,BEN,2013
PCPIEPCH,BTN,2013
PCPIEPCH,BOL,2014
PCPIEPCH,BIH,2013
PCPIEPCH,BWA,2013
PCPIEPCH,BRA,2014
PCPIEPCH,BRN,2013
PCPIEPCH,BGR,2014
PCPIEPCH,BFA,2014
PCPIEPCH,BDI,2012
PCPIEPCH,CPV,2014
PCPIEPCH,KHM,2013
PCPIEPCH,CMR,2013
PCPIEPCH,CAN,2014
PCPIEPCH,CAF,2014
PCPIEPCH,TCD,2013
PCPIEPCH,CHL,2014
PCPIEPCH,CHN,2014
PCPIEPCH,COL,2014
PCPIEPCH,COM,2013
PCPIEPCH,COD,2014
PCPIEPCH,COG,2013
PCPIEPCH,CRI,2013
PCPIEPCH,CIV,2014
PCPIEPCH,HRV,2014
PCPIEPCH,CYP,2014
PCPIEPCH,CZE,2014
PCPIEPCH,DNK,2014
PCPIEPCH,DJI,2014
PCPIEPCH,DMA,2013
PCPIEPCH,DOM,2014
PCPIEPCH,ECU,2014
PCPIEPCH,EGY,2014
PCPIEPCH,SLV,2013
PCPIEPCH,GNQ,2013
PCPIEPCH,ERI,2009
PCPIEPCH,EST,2013
PCPIEPCH,ETH,2014
PCPIEPCH,FJI,2013
PCPIEPCH,FIN,2014
PCPIEPCH,FRA,2014
PCPIEPCH,GAB,2014
PCPIEPCH,GMB,2013
PCPIEPCH,GEO,2014
PCPIEPCH,DEU,2014
PCPIEPCH,GHA,2013
PCPIEPCH,GRC,2014
PCPIEPCH,GRD,2013
PCPIEPCH,GTM,2013
PCPIEPCH,GIN,2014
PCPIEPCH,GNB,2011
PCPIEPCH,GUY,2012
PCPIEPCH,HTI,2013
PCPIEPCH,HND,2013
PCPIEPCH,HKG,2014
PCPIEPCH,HUN,2013
PCPIEPCH,ISL,2013
PCPIEPCH,IND,2014
PCPIEPCH,IDN,2014
PCPIEPCH,IRN,2014
PCPIEPCH,IRQ,2014
PCPIEPCH,IRL,2014
PCPIEPCH,ISR,2014
PCPIEPCH,ITA,2014
PCPIEPCH,JAM,2014
PCPIEPCH,JPN,2014
PCPIEPCH,JOR,2013
PCPIEPCH,KAZ,2013
PCPIEPCH,KEN,2014
PCPIEPCH,KIR,2014
PCPIEPCH,KOR,2014
PCPIEPCH,UVK,2013
PCPIEPCH,KWT,2014
PCPIEPCH,KGZ,2014
PCPIEPCH,LAO,2013
PCPIEPCH,LVA,2013
PCPIEPCH,LBN,2013
PCPIEPCH,LSO,2013
PCPIEPCH,LBR,2013
PCPIEPCH,LBY,2014
PCPIEPCH,LTU,2013
PCPIEPCH,LUX,2014
PCPIEPCH,MKD,2014
PCPIEPCH,MDG,2014
PCPIEPCH,MWI,2014
PCPIEPCH,MYS,2014
PCPIEPCH,MDV,2014
PCPIEPCH,MLI,2013
PCPIEPCH,MLT,2013
PCPIEPCH,MHL,2013
PCPIEPCH,MRT,2014
PCPIEPCH,MUS,2013
PCPIEPCH,MEX,2014
PCPIEPCH,FSM,2013
PCPIEPCH,MDA,2013
PCPIEPCH,MNG,2014
PCPIEPCH,MNE,2014
PCPIEPCH,MAR,2013
PCPIEPCH,MOZ,2014
PCPIEPCH,MMR,2014
PCPIEPCH,NAM,2012
PCPIEPCH,NPL,2014
PCPIEPCH,NLD,2014
PCPIEPCH,NZL,2014
PCPIEPCH,NIC,2014
PCPIEPCH,NER,2014
PCPIEPCH,NGA,2014
PCPIEPCH,NOR,2014
PCPIEPCH,OMN,2014
PCPIEPCH,PAK,2014
PCPIEPCH,PLW,2014
PCPIEPCH,PAN,2014
PCPIEPCH,PNG,2013
PCPIEPCH,PRY,2013
PCPIEPCH,PER,2014
PCPIEPCH,PHL,2014
PCPIEPCH,POL,2013
