weo_subject_code,geo,country_series_specific_notes
PPPGDP,AFG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ALB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,DZA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,AGO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ATG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ARG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ARM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,AUS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,AUT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,AZE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BHS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BHR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BGD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BRB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BLR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BEL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BLZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BTN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BOL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BIH,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BWA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BRA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BRN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BGR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BFA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,BDI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CPV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KHM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CMR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CAN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CAF,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TCD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CHL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CHN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,COL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,COM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,COD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,COG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CRI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CIV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,HRV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CYP,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CZE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,DNK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,DJI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,DMA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,DOM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ECU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,EGY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SLV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GNQ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ERI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,EST,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ETH,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,FJI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,FIN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,FRA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GAB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GMB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GEO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,DEU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GHA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GRC,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GRD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GTM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GIN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GNB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,GUY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,HTI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,HND,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,HKG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,HUN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ISL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,IND,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,IDN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,IRN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,IRQ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,IRL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ISR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ITA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,JAM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,JPN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,JOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KAZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KIR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,UVK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KWT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KGZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LAO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LVA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LBN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LSO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LBR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LBY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LTU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LUX,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MKD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MDG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MWI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MYS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MDV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MLI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MLT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MHL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MRT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MUS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MEX,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,FSM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MDA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MNG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MNE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MAR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MOZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,MMR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NAM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NPL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NLD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NZL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NIC,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NER,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NGA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,NOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,OMN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PAK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PLW,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PAN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PNG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PRY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PER,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PHL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,POL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,PRT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,QAT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ROU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,RUS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,RWA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,WSM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SMR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,STP,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SAU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SRB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SYC,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SLE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SGP,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SVK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SVN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SLB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ZAF,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SSD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ESP,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LKA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,KNA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,LCA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,VCT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SDN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SUR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SWZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SWE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,CHE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,SYR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TWN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TJK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TZA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,THA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TLS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TGO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TON,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TTO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TUN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TUR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TKM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,TUV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,UGA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,UKR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPGDP,ARE,"See notes for:  Gross domestic product, current prices (National currency)."
