weo_subject_code,geo,country_series_specific_notes
PPPSH,AFG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ALB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,DZA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,AGO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ATG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ARG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ARM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,AUS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,AUT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,AZE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BHS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BHR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BGD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BRB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BLR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BEL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BLZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BTN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BOL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BIH,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BWA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BRA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BRN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BGR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BFA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,BDI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CPV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KHM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CMR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CAN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CAF,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,TCD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CHL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CHN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,COL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,COM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,COD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,COG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CRI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CIV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,HRV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CYP,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,CZE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,DNK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,DJI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,DMA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,DOM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ECU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,EGY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,SLV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GNQ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ERI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,EST,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ETH,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,FJI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,FIN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,FRA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GAB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GMB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GEO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,DEU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GHA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GRC,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GRD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GTM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GIN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GNB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,GUY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,HTI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,HND,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,HKG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,HUN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ISL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,IND,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,IDN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,IRN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,IRQ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,IRL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ISR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,ITA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,JAM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,JPN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,JOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KAZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KIR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,UVK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KWT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,KGZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LAO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LVA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LBN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LSO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LBR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LBY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LTU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,LUX,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,MKD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,MDG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,MWI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPSH,MYS,"See notes for:  Gross domestic product, current prices (National currency)."
