weo_subject_code,geo,country_series_specific_notes
TXG_RPCH,AFG,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2013 Base year: 2003. Base year is the solar year 2002/03 Primary domestic currency: Afghan Afghani Data last updated: 03/2015
TXG_RPCH,ALB,"Source: Central Bank Latest actual data: 2012 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit;Other; Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2015"
TXG_RPCH,DZA,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Chain-weighted: Yes, from 2005 Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 03/2015"
TXG_RPCH,AGO,"Source: Central Bank. National Bank of Angola Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products;Secondary or refined products;Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 03/2015"
TXG_RPCH,ATG,Source: Central Bank Latest actual data: 2014 Base year: 2000 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
TXG_RPCH,ARG,"Source: National Statistical Office Latest actual data: 2013 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 03/2015"
TXG_RPCH,ARM,"Source: Central Bank Latest actual data: 2013 Base year: 2005 Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Armenian dram Data last updated: 03/2015"
TXG_RPCH,AUS,"Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Base year: 2011/12. Applies to export and import deflators Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 03/2015"
TXG_RPCH,AUT,"Source: Central Bank Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 03/2015"
TXG_RPCH,AZE,"Source: National Statistical Office Latest actual data: 2012 Base year: 2006 Chain-weighted: No Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Azerbaijan manat Data last updated: 03/2015"
TXG_RPCH,BHS,"Source: Central Bank Latest actual data: 2013 Base year: 2005 Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahamian dollar Data last updated: 03/2015"
TXG_RPCH,BHR,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahrain dinar Data last updated: 03/2015"
TXG_RPCH,BGD,"Source: Central Bank Latest actual data: 2013 Base year: 1990 Methodology used to derive volumes: Other Chain-weighted: No Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bangladesh taka Data last updated: 03/2015"
TXG_RPCH,BRB,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: None Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Barbados dollar Data last updated: 03/2015"
TXG_RPCH,BLR,"Source: National Statistical Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2013 Notes: Belarus purchases crude oil from Russia at a price different from the world market price: they get it at a substantial discount. The dynamics of the imported oil price deflator is set by world prices as well as by the subsidy, so it does not follow world prices. Deflator of oil exports reflects (i) crude oil and (ii) oil products. Oil products are priced differently from crude oil. The historical values are taken from the authorities? data. Projections should be reasonably close to WEO?s numbers because we use POILAPSP for ?pricing? oil products in the projection period. Base year: 2009 Methodology used to derive volumes: Other Formula used to derive volumes: Fisher Chain-weighted: No. Last update of weights was 2008. Trade System: General trade Excluded items in trade: In transit;Other;. Excluded items include transit goods and goods from U.N. methodology. Oil coverage: Primary or unrefined products;Secondary or refined products;Other; Valuation of exports: Delivered At Frontier (DAF) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Belarusian rubel Data last updated: 03/2015"
TXG_RPCH,BEL,"Source: Central Bank Latest actual data: 2014 Base year: 2010 Methodology used to derive volumes: Weighted average of volume changes Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 03/2015"
TXG_RPCH,BLZ,"Source: Customs Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Belize dollar Data last updated: 03/2015"
TXG_RPCH,BEN,Source: Central Bank Latest actual data: 2012 Base year: 1992 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Other Primary domestic currency: CFA franc Data last updated: 02/2015
TXG_RPCH,BTN,Base year: 2005 Primary domestic currency: Bhutanese ngultrum Data last updated: 02/2015
TXG_RPCH,BOL,"Source: Central Bank Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Weighted average of volume changes Chain-weighted: Yes, from 2006 Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bolivian boliviano Data last updated: 03/2015"
TXG_RPCH,BIH,"Source: National Statistical Office Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Fisher Chain-weighted: No Trade System: Special trade Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Convertible marka Data last updated: 03/2015"
TXG_RPCH,BWA,"Source: National Statistical Office Latest actual data: 2010 Base year: 1992 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Fisher Chain-weighted: No Trade System: General trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Botswana pula Data last updated: 03/2015"
TXG_RPCH,BRA,Source: Central Bank Latest actual data: 2014 Base year: 2006 Primary domestic currency: Brazilian real Data last updated: 03/2015
TXG_RPCH,BRN,"Source: National Statistical Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2014 Base year: 2000 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Brunei dollar Data last updated: 03/2015"
TXG_RPCH,BGR,"Source: National Statistical Office Latest actual data: 2013 Base year: 2005 Chain-weighted: Yes, from 2005 Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bulgarian lev Data last updated: 03/2015"
TXG_RPCH,BFA,"Source: Central Bank Latest actual data: 2012 Base year: 1999 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 03/2015"
TXG_RPCH,BDI,"Source: Central Bank. Some data are staff estimates Latest actual data: 2012 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Burundi franc Data last updated: 03/2015"
TXG_RPCH,CPV,Source: Central Bank Latest actual data: 2013 Base year: 2005 Primary domestic currency: Cabo Verde escudo Data last updated: 02/2015
TXG_RPCH,KHM,"Source: National Statistical Office Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 03/2015"
TXG_RPCH,CMR,"Source: Ministry of Finance Latest actual data: 2013 Base year: 2000 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Other Chain-weighted: No. annually Trade System: General trade Excluded items in trade: In transit; Oil coverage: Primary or unrefined products;. Cameroon is an exporter of crude  and some refined oil Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 03/2015"
TXG_RPCH,CAN,"Source: National Statistical Office Latest actual data: 2014 Base year: 2002 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Fisher Chain-weighted: Yes, from 1997 Trade System: General trade Excluded items in trade: Re-exports;Re-imports; Oil coverage: Refers to energy exports (crude oil, natural gas, coal, and other) Valuation of exports: Free on board (FOB). Total energy is used for the oil export deflator Valuation of imports: Cost, insurance, freight (CIF). Total energy is used for the oil import deflator Primary domestic currency: Canadian dollar Data last updated: 03/2015"
TXG_RPCH,CAF,"Source: Central Bank Latest actual data: 2012 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Excluded items in trade: Re-exports;Re-imports; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 02/2015"
TXG_RPCH,TCD,Source: Central Bank Latest actual data: 2012 Base year: 2000 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Other Primary domestic currency: CFA franc Data last updated: 03/2015
TXG_RPCH,CHL,"Source: Central Bank Latest actual data: 2013 Base year: 2008 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: The Free Zones are included as part of Chile´s economic territory. This means that customs declarations, which are compiled according to the Special Trade System, are adjusted, so that goods are registered as imports when they enter the Free Zones. Re-exports from the Free Zones are recorded as exports. Excluded items in trade: (According to BPM5, goods in direct transit are excluded. ) Valuation of exports: Free on board (FOB). Customs value of some big-scale exports is adjusted to better reflect market prices. Estimates of prices are made to adjust preliminary customs export data on goods sold on consignment or by other mechanisms according to which definite values are unknown at the time of shipment. Valuation of imports: Free on board (FOB) Primary domestic currency: Chilean peso Data last updated: 03/2015"
TXG_RPCH,CHN,"Source: CEIC Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Derived from value index and unit value index Chain-weighted: No Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Chinese yuan Data last updated: 03/2015"
